s,Pa,Pa,Pa
Time,"pres_1","pres_2","pres_3"
 0.0000000E+000,-5.7848156E-005,-3.2771793E-005,-2.8270129E-005
 2.0412415E-001, 3.6104340E-003,-1.4890513E-004, 1.2044264E-004
 4.0824829E-001, 4.0310282E+001,-1.0111458E-005,-9.0976740E-005
 6.1237244E-001, 8.0611642E+001, 7.2144906E-005,-1.2025412E-004
 8.1649658E-001, 1.2090273E+002, 1.1621581E-004,-4.4330972E-005
 1.0206207E+000, 1.6118363E+002, 1.9680825E-004, 1.2285103E-004
 1.2247449E+000, 2.0145330E+002, 3.1730264E-004, 3.7050760E-004
 1.4288690E+000, 2.4171152E+002, 4.6072654E-004, 6.7407209E-004
 1.6329932E+000, 2.8195951E+002, 6.0991251E-004, 1.0042592E-003
 1.8371173E+000, 3.2219578E+002, 7.5084967E-004, 1.3320796E-003
 2.0412415E+000, 3.6242023E+002, 8.7923987E-004, 1.6392992E-003
 2.2453656E+000, 4.0263483E+002, 9.9413240E-004, 1.9171942E-003
 2.4494897E+000, 4.4283700E+002, 1.1011792E-003, 2.1651474E-003
 2.6536139E+000, 4.8302659E+002, 1.2056296E-003, 2.3882034E-003
 2.8577380E+000, 5.2320652E+002, 1.3157799E-003, 2.5958863E-003
 3.0618622E+000, 5.6337389E+002, 1.4325058E-003, 2.7954542E-003
 3.2659863E+000, 6.0352855E+002, 1.5555053E-003, 2.9934790E-003
 3.4701105E+000, 6.4367363E+002, 1.6825890E-003, 3.1942699E-003
 3.6742346E+000, 6.8380571E+002, 1.8107561E-003, 3.4004908E-003
 3.8783588E+000, 7.2392467E+002, 1.9387289E-003, 3.6133668E-003
 4.0824829E+000, 7.6403388E+002, 2.0638742E-003, 3.8326068E-003
 4.2866070E+000, 8.0412979E+002, 2.1846418E-003, 4.0574018E-003
 4.4907312E+000, 8.4421231E+002, 2.3032946E-003, 4.2881929E-003
 4.6948553E+000, 8.8428501E+002, 2.4212341E-003, 4.5247554E-003
 4.8989795E+000, 9.2434421E+002, 2.5396858E-003, 4.7664648E-003
 5.1031036E+000, 9.6438985E+002, 2.6594486E-003, 5.0122252E-003
 5.3072278E+000, 1.0044255E+003, 2.7807496E-003, 5.2603709E-003
 5.5113519E+000, 1.0444476E+003, 2.9032815E-003, 5.5087315E-003
 5.7154761E+000, 1.0844559E+003, 3.0264570E-003, 5.7549913E-003
 5.9196002E+000, 1.1244540E+003, 3.1496441E-003, 5.9970909E-003
 6.1237244E+000, 1.1644382E+003, 3.2723374E-003, 6.2336222E-003
 6.3278485E+000, 1.2044086E+003, 3.3942710E-003, 6.4641600E-003
 6.5319726E+000, 1.2443684E+003, 3.5154227E-003, 6.6893584E-003
 6.7360968E+000, 1.2843142E+003, 3.6359389E-003, 6.9108170E-003
 6.9402209E+000, 1.3242459E+003, 3.7560468E-003, 7.1307641E-003
 7.1443451E+000, 1.3641671E+003, 3.8759761E-003, 7.3515947E-003
 7.3484692E+000, 1.4040741E+003, 3.9958385E-003, 7.5751534E-003
 7.5525934E+000, 1.4439670E+003, 4.1158418E-003, 7.8032911E-003
 7.7567175E+000, 1.4838493E+003, 4.2359426E-003, 8.0362255E-003
 7.9608417E+000, 1.5237173E+003, 4.3561011E-003, 8.2734413E-003
