,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:24:14.587+01:00,   0.204E+00,   0.20412
      2,2020-02-19T19:24:14.637+01:00,   0.204E+00,   0.40825
      3,2020-02-19T19:24:14.687+01:00,   0.204E+00,   0.61237
      4,2020-02-19T19:24:14.748+01:00,   0.204E+00,   0.81650
      5,2020-02-19T19:24:14.806+01:00,   0.204E+00,   1.02062
      6,2020-02-19T19:24:14.856+01:00,   0.204E+00,   1.22474
      7,2020-02-19T19:24:14.917+01:00,   0.204E+00,   1.42887
      8,2020-02-19T19:24:14.966+01:00,   0.204E+00,   1.63299
      9,2020-02-19T19:24:15.014+01:00,   0.204E+00,   1.83712
     10,2020-02-19T19:24:15.075+01:00,   0.204E+00,   2.04124
     20,2020-02-19T19:24:15.646+01:00,   0.204E+00,   4.08248
     30,2020-02-19T19:24:16.178+01:00,   0.204E+00,   6.12372
     40,2020-02-19T19:24:16.783+01:00,   0.204E+00,   8.16497
     50,2020-02-19T19:24:17.340+01:00,   0.204E+00,  10.20621
     60,2020-02-19T19:24:18.033+01:00,   0.204E+00,  12.24745
     70,2020-02-19T19:24:18.594+01:00,   0.204E+00,  14.28869
     80,2020-02-19T19:24:19.167+01:00,   0.204E+00,  16.32993
     90,2020-02-19T19:24:19.871+01:00,   0.204E+00,  18.37117
    100,2020-02-19T19:24:20.672+01:00,   0.204E+00,  20.41241
    147,2020-02-19T19:24:24.435+01:00,   0.198E+00,  30.00000
