s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 4.8000000E+001, 0.0000000E+000, 0.0000000E+000
 4.8028868E+001, 0.0000000E+000, 0.0000000E+000
 4.8057735E+001, 0.0000000E+000, 0.0000000E+000
 4.8086603E+001, 0.0000000E+000, 0.0000000E+000
 4.8115470E+001, 0.0000000E+000, 0.0000000E+000
 4.8144338E+001, 0.0000000E+000, 0.0000000E+000
 4.8173205E+001, 0.0000000E+000, 0.0000000E+000
 4.8195855E+001, 0.0000000E+000, 0.0000000E+000
 4.8218505E+001, 0.0000000E+000, 0.0000000E+000
 4.8241155E+001, 0.0000000E+000, 0.0000000E+000
 4.8266070E+001, 0.0000000E+000, 0.0000000E+000
 4.8284266E+001, 0.0000000E+000, 0.0000000E+000
 4.8302463E+001, 0.0000000E+000, 0.0000000E+000
 4.8322478E+001, 0.0000000E+000, 0.0000000E+000
 4.8344496E+001, 0.0000000E+000, 0.0000000E+000
 4.8366513E+001, 0.0000000E+000, 0.0000000E+000
 4.8383968E+001, 0.0000000E+000, 0.0000000E+000
 4.8401422E+001, 0.0000000E+000, 0.0000000E+000
 4.8418877E+001, 0.0000000E+000, 0.0000000E+000
 4.8431841E+001, 0.0000000E+000, 0.0000000E+000
 4.8444805E+001, 0.0000000E+000, 0.0000000E+000
 4.8456140E+001, 0.0000000E+000, 0.0000000E+000
 4.8466206E+001, 0.0000000E+000, 0.0000000E+000
 4.8476272E+001, 0.0000000E+000, 0.0000000E+000
 4.8486338E+001, 0.0000000E+000, 0.0000000E+000
 4.8503483E+001, 0.0000000E+000, 0.0000000E+000
 4.8527473E+001, 0.0000000E+000, 0.0000000E+000
 4.8542892E+001, 0.0000000E+000, 0.0000000E+000
 4.8563420E+001, 0.0000000E+000, 0.0000000E+000
 4.8583949E+001, 0.0000000E+000, 0.0000000E+000
 4.8603772E+001, 0.0000000E+000, 0.0000000E+000
 4.8622182E+001, 0.0000000E+000, 0.0000000E+000
 4.8640592E+001, 0.0000000E+000, 0.0000000E+000
 4.8664476E+001, 0.0000000E+000, 0.0000000E+000
 4.8680899E+001, 0.0000000E+000, 0.0000000E+000
 4.8702795E+001, 0.0000000E+000, 0.0000000E+000
 4.8721619E+001, 0.0000000E+000, 0.0000000E+000
 4.8743149E+001, 0.0000000E+000, 0.0000000E+000
 4.8764179E+001, 0.0000000E+000, 0.0000000E+000
 4.8781004E+001, 0.0000000E+000, 0.0000000E+000
 4.8801122E+001, 0.0000000E+000, 0.0000000E+000
 4.8823622E+001, 0.0000000E+000, 0.0000000E+000
 4.8841680E+001, 0.0000000E+000, 0.0000000E+000
 4.8860345E+001, 0.0000000E+000, 0.0000000E+000
 4.8882231E+001, 0.0000000E+000, 0.0000000E+000
 4.8901174E+001, 0.0000000E+000, 0.0000000E+000
 4.8921897E+001, 0.0000000E+000, 0.0000000E+000
 4.8940547E+001, 0.0000000E+000, 0.0000000E+000
 4.8960221E+001, 0.0000000E+000, 0.0000000E+000
 4.8980711E+001, 0.0000000E+000, 0.0000000E+000
 4.9001200E+001, 0.0000000E+000, 0.0000000E+000
 4.9021690E+001, 0.0000000E+000, 0.0000000E+000
 4.9040316E+001, 0.0000000E+000, 0.0000000E+000
 4.9060806E+001, 0.0000000E+000, 0.0000000E+000
 4.9081295E+001, 0.0000000E+000, 0.0000000E+000
 4.9100405E+001, 0.0000000E+000, 0.0000000E+000
 4.9121858E+001, 0.0000000E+000, 0.0000000E+000
 4.9140387E+001, 0.0000000E+000, 0.0000000E+000
 4.9161840E+001, 0.0000000E+000, 0.0000000E+000
 4.9181148E+001, 0.0000000E+000, 0.0000000E+000
 4.9200456E+001, 0.0000000E+000, 0.0000000E+000
 4.9221910E+001, 0.0000000E+000, 0.0000000E+000
 4.9241455E+001, 0.0000000E+000, 0.0000000E+000
 4.9261868E+001, 0.0000000E+000, 0.0000000E+000
 4.9280409E+001, 0.0000000E+000, 0.0000000E+000
 4.9301614E+001, 0.0000000E+000, 0.0000000E+000
 4.9320118E+001, 0.0000000E+000, 0.0000000E+000
 4.9340100E+001, 0.0000000E+000, 0.0000000E+000
 4.9360082E+001, 0.0000000E+000, 0.0000000E+000
 4.9380016E+001, 0.0000000E+000, 0.0000000E+000
 4.9401529E+001, 0.0000000E+000, 0.0000000E+000
 4.9420755E+001, 0.0000000E+000, 0.0000000E+000
 4.9440458E+001, 0.0000000E+000, 0.0000000E+000
 4.9462132E+001, 0.0000000E+000, 0.0000000E+000
 4.9481817E+001, 0.0000000E+000, 0.0000000E+000
 4.9501272E+001, 0.0000000E+000, 0.0000000E+000
 4.9520842E+001, 0.0000000E+000, 0.0000000E+000
 4.9540411E+001, 0.0000000E+000, 0.0000000E+000
 4.9561503E+001, 0.0000000E+000, 0.0000000E+000
 4.9580808E+001, 0.0000000E+000, 0.0000000E+000
 4.9601853E+001, 0.0000000E+000, 0.0000000E+000
 4.9620831E+001, 0.0000000E+000, 0.0000000E+000
 4.9641650E+001, 0.0000000E+000, 0.0000000E+000
 4.9660421E+001, 0.0000000E+000, 0.0000000E+000
 4.9680186E+001, 0.0000000E+000, 0.0000000E+000
 4.9701209E+001, 0.0000000E+000, 0.0000000E+000
 4.9720578E+001, 0.0000000E+000, 0.0000000E+000
 4.9741566E+001, 0.0000000E+000, 0.0000000E+000
 4.9760793E+001, 0.0000000E+000, 0.0000000E+000
 4.9781358E+001, 0.0000000E+000, 0.0000000E+000
 4.9800769E+001, 0.0000000E+000, 0.0000000E+000
 4.9820860E+001, 0.0000000E+000, 0.0000000E+000
 4.9840090E+001, 0.0000000E+000, 0.0000000E+000
 4.9860726E+001, 0.0000000E+000, 0.0000000E+000
 4.9881070E+001, 0.0000000E+000, 0.0000000E+000
 4.9901879E+001, 0.0000000E+000, 0.0000000E+000
 4.9920606E+001, 0.0000000E+000, 0.0000000E+000
 4.9941415E+001, 0.0000000E+000, 0.0000000E+000
 4.9960672E+001, 0.0000000E+000, 0.0000000E+000
 4.9981368E+001, 0.0000000E+000, 0.0000000E+000
 5.0000144E+001, 0.0000000E+000, 0.0000000E+000
 5.0021720E+001, 0.0000000E+000, 0.0000000E+000
 5.0040916E+001, 0.0000000E+000, 0.0000000E+000
 5.0060645E+001, 0.0000000E+000, 0.0000000E+000
 5.0080366E+001, 0.0000000E+000, 0.0000000E+000
 5.0100904E+001, 0.0000000E+000, 0.0000000E+000
 5.0120406E+001, 0.0000000E+000, 0.0000000E+000
 5.0140175E+001, 0.0000000E+000, 0.0000000E+000
 5.0160516E+001, 0.0000000E+000, 0.0000000E+000
 5.0180952E+001, 0.0000000E+000, 0.0000000E+000
 5.0200222E+001, 0.0000000E+000, 0.0000000E+000
 5.0220563E+001, 0.0000000E+000, 0.0000000E+000
 5.0240903E+001, 0.0000000E+000, 0.0000000E+000
 5.0260173E+001, 0.0000000E+000, 0.0000000E+000
 5.0280728E+001, 0.0000000E+000, 0.0000000E+000
 5.0300748E+001, 0.0000000E+000, 0.0000000E+000
 5.0320767E+001, 0.0000000E+000, 0.0000000E+000
 5.0340787E+001, 0.0000000E+000, 0.0000000E+000
 5.0360806E+001, 0.0000000E+000, 0.0000000E+000
 5.0380826E+001, 0.0000000E+000, 0.0000000E+000
 5.0400845E+001, 0.0000000E+000, 0.0000000E+000
 5.0420864E+001, 0.0000000E+000, 0.0000000E+000
 5.0440884E+001, 0.0000000E+000, 0.0000000E+000
 5.0460903E+001, 0.0000000E+000, 0.0000000E+000
 5.0480923E+001, 0.0000000E+000, 0.0000000E+000
 5.0500942E+001, 0.0000000E+000, 0.0000000E+000
