s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 4.8000000E+001, 0.0000000E+000, 0.0000000E+000
 4.8028868E+001, 0.0000000E+000, 0.0000000E+000
 4.8057735E+001, 0.0000000E+000, 0.0000000E+000
 4.8086603E+001, 0.0000000E+000, 0.0000000E+000
 4.8115470E+001, 0.0000000E+000, 0.0000000E+000
 4.8144338E+001, 0.0000000E+000, 0.0000000E+000
 4.8173205E+001, 0.0000000E+000, 0.0000000E+000
 4.8195396E+001, 0.0000000E+000, 0.0000000E+000
 4.8217588E+001, 0.0000000E+000, 0.0000000E+000
 4.8239779E+001, 0.0000000E+000, 0.0000000E+000
 4.8261971E+001, 0.0000000E+000, 0.0000000E+000
 4.8280367E+001, 0.0000000E+000, 0.0000000E+000
 4.8298763E+001, 0.0000000E+000, 0.0000000E+000
 4.8318999E+001, 0.0000000E+000, 0.0000000E+000
 4.8341258E+001, 0.0000000E+000, 0.0000000E+000
 4.8363518E+001, 0.0000000E+000, 0.0000000E+000
 4.8382272E+001, 0.0000000E+000, 0.0000000E+000
 4.8401027E+001, 0.0000000E+000, 0.0000000E+000
 4.8417212E+001, 0.0000000E+000, 0.0000000E+000
 4.8430680E+001, 0.0000000E+000, 0.0000000E+000
 4.8442759E+001, 0.0000000E+000, 0.0000000E+000
 4.8454838E+001, 0.0000000E+000, 0.0000000E+000
 4.8465205E+001, 0.0000000E+000, 0.0000000E+000
 4.8475571E+001, 0.0000000E+000, 0.0000000E+000
 4.8484175E+001, 0.0000000E+000, 0.0000000E+000
 4.8501383E+001, 0.0000000E+000, 0.0000000E+000
 4.8524456E+001, 0.0000000E+000, 0.0000000E+000
 4.8544445E+001, 0.0000000E+000, 0.0000000E+000
 4.8562714E+001, 0.0000000E+000, 0.0000000E+000
 4.8580123E+001, 0.0000000E+000, 0.0000000E+000
 4.8603334E+001, 0.0000000E+000, 0.0000000E+000
 4.8620743E+001, 0.0000000E+000, 0.0000000E+000
 4.8643954E+001, 0.0000000E+000, 0.0000000E+000
 4.8660717E+001, 0.0000000E+000, 0.0000000E+000
 4.8681346E+001, 0.0000000E+000, 0.0000000E+000
 4.8701339E+001, 0.0000000E+000, 0.0000000E+000
 4.8723951E+001, 0.0000000E+000, 0.0000000E+000
 4.8741531E+001, 0.0000000E+000, 0.0000000E+000
 4.8761602E+001, 0.0000000E+000, 0.0000000E+000
 4.8780319E+001, 0.0000000E+000, 0.0000000E+000
 4.8800520E+001, 0.0000000E+000, 0.0000000E+000
 4.8822507E+001, 0.0000000E+000, 0.0000000E+000
 4.8840795E+001, 0.0000000E+000, 0.0000000E+000
 4.8861636E+001, 0.0000000E+000, 0.0000000E+000
 4.8881237E+001, 0.0000000E+000, 0.0000000E+000
 4.8900484E+001, 0.0000000E+000, 0.0000000E+000
 4.8920944E+001, 0.0000000E+000, 0.0000000E+000
 4.8940210E+001, 0.0000000E+000, 0.0000000E+000
 4.8960245E+001, 0.0000000E+000, 0.0000000E+000
 4.8980706E+001, 0.0000000E+000, 0.0000000E+000
 4.9000998E+001, 0.0000000E+000, 0.0000000E+000
 4.9021291E+001, 0.0000000E+000, 0.0000000E+000
 4.9041584E+001, 0.0000000E+000, 0.0000000E+000
 4.9060457E+001, 0.0000000E+000, 0.0000000E+000
 4.9080547E+001, 0.0000000E+000, 0.0000000E+000
 4.9100637E+001, 0.0000000E+000, 0.0000000E+000
 4.9120727E+001, 0.0000000E+000, 0.0000000E+000
 4.9140816E+001, 0.0000000E+000, 0.0000000E+000
 4.9160906E+001, 0.0000000E+000, 0.0000000E+000
 4.9180996E+001, 0.0000000E+000, 0.0000000E+000
 4.9200838E+001, 0.0000000E+000, 0.0000000E+000
 4.9220680E+001, 0.0000000E+000, 0.0000000E+000
 4.9240522E+001, 0.0000000E+000, 0.0000000E+000
 4.9260364E+001, 0.0000000E+000, 0.0000000E+000
 4.9280206E+001, 0.0000000E+000, 0.0000000E+000
 4.9301598E+001, 0.0000000E+000, 0.0000000E+000
 4.9321207E+001, 0.0000000E+000, 0.0000000E+000
 4.9340816E+001, 0.0000000E+000, 0.0000000E+000
 4.9360425E+001, 0.0000000E+000, 0.0000000E+000
 4.9380926E+001, 0.0000000E+000, 0.0000000E+000
 4.9400535E+001, 0.0000000E+000, 0.0000000E+000
 4.9420144E+001, 0.0000000E+000, 0.0000000E+000
 4.9441714E+001, 0.0000000E+000, 0.0000000E+000
 4.9461324E+001, 0.0000000E+000, 0.0000000E+000
 4.9481129E+001, 0.0000000E+000, 0.0000000E+000
 4.9501620E+001, 0.0000000E+000, 0.0000000E+000
 4.9520602E+001, 0.0000000E+000, 0.0000000E+000
 4.9541798E+001, 0.0000000E+000, 0.0000000E+000
 4.9560209E+001, 0.0000000E+000, 0.0000000E+000
 4.9581085E+001, 0.0000000E+000, 0.0000000E+000
 4.9600063E+001, 0.0000000E+000, 0.0000000E+000
 4.9620939E+001, 0.0000000E+000, 0.0000000E+000
 4.9641420E+001, 0.0000000E+000, 0.0000000E+000
 4.9660121E+001, 0.0000000E+000, 0.0000000E+000
 4.9680693E+001, 0.0000000E+000, 0.0000000E+000
 4.9701264E+001, 0.0000000E+000, 0.0000000E+000
 4.9721836E+001, 0.0000000E+000, 0.0000000E+000
 4.9740780E+001, 0.0000000E+000, 0.0000000E+000
 4.9761146E+001, 0.0000000E+000, 0.0000000E+000
 4.9781512E+001, 0.0000000E+000, 0.0000000E+000
 4.9801848E+001, 0.0000000E+000, 0.0000000E+000
 4.9820324E+001, 0.0000000E+000, 0.0000000E+000
 4.9841670E+001, 0.0000000E+000, 0.0000000E+000
 4.9860169E+001, 0.0000000E+000, 0.0000000E+000
 4.9880910E+001, 0.0000000E+000, 0.0000000E+000
 4.9901778E+001, 0.0000000E+000, 0.0000000E+000
 4.9921545E+001, 0.0000000E+000, 0.0000000E+000
 4.9940772E+001, 0.0000000E+000, 0.0000000E+000
 4.9960000E+001, 0.0000000E+000, 0.0000000E+000
