s,status
Time,"MY PID"
 4.8000000E+001,-1
 4.8028866E+001,-1
 4.8057735E+001,-1
 4.8086601E+001,-1
 4.8115471E+001,-1
 4.8144337E+001,-1
 4.8173206E+001,-1
 4.8195396E+001,-1
 4.8217587E+001,-1
 4.8239780E+001,-1
 4.8261971E+001,-1
 4.8280369E+001,-1
 4.8298763E+001,-1
 4.8319000E+001,-1
 4.8341259E+001,-1
 4.8363518E+001,-1
 4.8382271E+001,-1
 4.8401028E+001,-1
 4.8417213E+001,-1
 4.8430679E+001,-1
 4.8442760E+001,-1
 4.8454838E+001,-1
 4.8465206E+001,-1
 4.8475571E+001,-1
 4.8484177E+001,-1
 4.8492779E+001,-1
 4.8501385E+001,-1
 4.8509075E+001,-1
 4.8516766E+001,-1
 4.8524456E+001,-1
 4.8531120E+001,-1
 4.8537781E+001,-1
 4.8544445E+001,-1
 4.8551109E+001,-1
 4.8556911E+001,-1
 4.8562714E+001,-1
 4.8568516E+001,-1
 4.8574322E+001,-1
 4.8580124E+001,-1
 4.8585926E+001,-1
 4.8591728E+001,-1
 4.8597530E+001,-1
 4.8603333E+001,-1
 4.8609138E+001,-1
 4.8614941E+001,-1
 4.8620743E+001,-1
 4.8626545E+001,-1
 4.8632347E+001,-1
 4.8638153E+001,-1
 4.8643955E+001,-1
 4.8649757E+001,-1
 4.8655560E+001,-1
 4.8660717E+001,-1
 4.8665874E+001,-1
 4.8671032E+001,-1
 4.8676189E+001,-1
 4.8681347E+001,-1
 4.8686504E+001,-1
 4.8691658E+001,-1
 4.8696815E+001,-1
 4.8701340E+001,-1
 4.8705860E+001,-1
 4.8710384E+001,-1
 4.8714905E+001,-1
 4.8719429E+001,-1
 4.8723949E+001,-1
 4.8728474E+001,-1
 4.8732994E+001,-1
 4.8737518E+001,-1
 4.8741531E+001,-1
 4.8745544E+001,-1
 4.8749561E+001,-1
 4.8753574E+001,-1
 4.8757587E+001,-1
 4.8761600E+001,-1
 4.8765617E+001,-1
 4.8769630E+001,-1
 4.8773193E+001,-1
 4.8776756E+001,-1
 4.8780319E+001,-1
 4.8783882E+001,-1
 4.8787445E+001,-1
 4.8791008E+001,-1
 4.8794571E+001,-1
 4.8797546E+001,-1
 4.8800518E+001,-1
 4.8803493E+001,-1
 4.8806469E+001,-1
 4.8809444E+001,-1
 4.8812057E+001,-1
 4.8814671E+001,-1
 4.8817284E+001,-1
 4.8819893E+001,-1
 4.8822506E+001,-1
 4.8825119E+001,-1
 4.8827732E+001,-1
 4.8830345E+001,-1
 4.8832958E+001,-1
 4.8835571E+001,-1
 4.8838184E+001,-1
 4.8840794E+001,-1
 4.8843407E+001,-1
 4.8845688E+001,-1
 4.8847965E+001,-1
 4.8850243E+001,-1
 4.8852520E+001,-1
 4.8854801E+001,-1
 4.8857079E+001,-1
 4.8859356E+001,-1
 4.8861637E+001,-1
 4.8863914E+001,-1
 4.8865841E+001,-1
 4.8867764E+001,-1
 4.8869690E+001,-1
 4.8871613E+001,-1
 4.8873539E+001,-1
 4.8875462E+001,-1
 4.8877388E+001,-1
 4.8879311E+001,-1
 4.8881237E+001,-1
 4.8883163E+001,-1
 4.8885086E+001,-1
 4.8887012E+001,-1
 4.8888935E+001,-1
 4.8890862E+001,-1
 4.8892784E+001,-1
 4.8894711E+001,-1
 4.8896633E+001,-1
 4.8898560E+001,-1
 4.8900486E+001,-1
 4.8902191E+001,-1
 4.8903893E+001,-1
 4.8905598E+001,-1
 4.8907303E+001,-1
 4.8909008E+001,-1
 4.8910713E+001,-1
 4.8912418E+001,-1
 4.8914124E+001,-1
 4.8915829E+001,-1
 4.8917534E+001,-1
 4.8919239E+001,-1
 4.8920944E+001,-1
 4.8922649E+001,-1
 4.8924355E+001,-1
 4.8926060E+001,-1
 4.8927765E+001,-1
 4.8929470E+001,-1
 4.8931175E+001,-1
 4.8932880E+001,-1
 4.8934582E+001,-1
 4.8936459E+001,-1
 4.8938335E+001,-1
 4.8940208E+001,-1
 4.8942085E+001,-1
 4.8943962E+001,-1
 4.8945835E+001,-1
 4.8947712E+001,-1
 4.8949589E+001,-1
 4.8951462E+001,-1
 4.8953339E+001,-1
 4.8955215E+001,-1
 4.8956890E+001,-1
 4.8958569E+001,-1
 4.8960243E+001,-1
 4.8961922E+001,-1
 4.8963600E+001,-1
 4.8965275E+001,-1
 4.8966953E+001,-1
 4.8968632E+001,-1
 4.8970306E+001,-1
 4.8971985E+001,-1
 4.8973663E+001,-1
 4.8975338E+001,-1
 4.8977016E+001,-1
 4.8978859E+001,-1
 4.8980705E+001,-1
 4.8982552E+001,-1
 4.8984394E+001,-1
 4.8986240E+001,-1
 4.8988083E+001,-1
 4.8989929E+001,-1
 4.8991776E+001,-1
 4.8993618E+001,-1
 4.8995464E+001,-1
 4.8997311E+001,-1
 4.8999153E+001,-1
 4.9000999E+001,-1
 4.9003029E+001,-1
 4.9005058E+001,-1
 4.9007088E+001,-1
 4.9009117E+001,-1
 4.9011147E+001,-1
 4.9013176E+001,-1
 4.9015202E+001,-1
 4.9017231E+001,-1
 4.9019260E+001,-1
 4.9021290E+001,-1
 4.9023319E+001,-1
 4.9025349E+001,-1
 4.9027378E+001,-1
 4.9029408E+001,-1
 4.9031437E+001,-1
 4.9033466E+001,-1
 4.9035496E+001,-1
 4.9037525E+001,-1
 4.9039555E+001,-1
 4.9041584E+001,-1
 4.9043613E+001,-1
 4.9045643E+001,-1
 4.9047672E+001,-1
 4.9049702E+001,-1
 4.9051731E+001,-1
 4.9053761E+001,-1
 4.9055992E+001,-1
 4.9058224E+001,-1
 4.9060455E+001,-1
 4.9062687E+001,-1
 4.9064922E+001,-1
 4.9067154E+001,-1
 4.9069386E+001,-1
 4.9071617E+001,-1
 4.9073849E+001,-1
 4.9076080E+001,-1
 4.9078316E+001,-1
 4.9080547E+001,-1
 4.9082779E+001,-1
 4.9085011E+001,-1
 4.9087242E+001,-1
 4.9089474E+001,-1
 4.9091709E+001,-1
 4.9093941E+001,-1
 4.9096172E+001,-1
 4.9098404E+001,-1
 4.9100636E+001,-1
 4.9102867E+001,-1
 4.9105103E+001,-1
 4.9107334E+001,-1
 4.9109566E+001,-1
 4.9111797E+001,-1
 4.9114029E+001,-1
 4.9116261E+001,-1
 4.9118496E+001,-1
 4.9120728E+001,-1
 4.9122959E+001,-1
 4.9125191E+001,-1
 4.9127422E+001,-1
 4.9129654E+001,-1
 4.9131889E+001,-1
 4.9134121E+001,-1
 4.9136353E+001,-1
 4.9138584E+001,-1
 4.9140816E+001,-1
 4.9143047E+001,-1
 4.9145283E+001,-1
 4.9147514E+001,-1
 4.9149746E+001,-1
 4.9151978E+001,-1
 4.9154209E+001,-1
