s,status
Time,"MY PID"
 4.8000000E+001,-1
 4.8028866E+001,-1
 4.8057735E+001,-1
 4.8086601E+001,-1
 4.8115471E+001,-1
 4.8144337E+001,-1
 4.8173206E+001,-1
 4.8195328E+001,-1
 4.8217453E+001,-1
 4.8239574E+001,-1
 4.8263912E+001,-1
 4.8282074E+001,-1
 4.8300236E+001,-1
 4.8320213E+001,-1
 4.8342190E+001,-1
 4.8364166E+001,-1
 4.8381100E+001,-1
 4.8398037E+001,-1
 4.8412781E+001,-1
 4.8425549E+001,-1
 4.8438313E+001,-1
 4.8448780E+001,-1
 4.8459251E+001,-1
 4.8469719E+001,-1
 4.8478718E+001,-1
 4.8487717E+001,-1
 4.8496719E+001,-1
 4.8504734E+001,-1
 4.8512749E+001,-1
 4.8519943E+001,-1
 4.8527134E+001,-1
 4.8534328E+001,-1
 4.8541523E+001,-1
 4.8548714E+001,-1
 4.8554970E+001,-1
 4.8561222E+001,-1
 4.8567478E+001,-1
 4.8573734E+001,-1
 4.8579987E+001,-1
 4.8586243E+001,-1
 4.8592495E+001,-1
 4.8598751E+001,-1
 4.8604362E+001,-1
 4.8609974E+001,-1
 4.8615585E+001,-1
 4.8621197E+001,-1
 4.8626808E+001,-1
 4.8632420E+001,-1
 4.8638031E+001,-1
 4.8643642E+001,-1
 4.8649254E+001,-1
 4.8654865E+001,-1
 4.8660477E+001,-1
 4.8666088E+001,-1
 4.8671700E+001,-1
 4.8677311E+001,-1
 4.8682922E+001,-1
 4.8687801E+001,-1
 4.8697559E+001,-1
 4.8712200E+001,-1
 4.8720829E+001,-1
 4.8733776E+001,-1
 4.8745777E+001,-1
 4.8757301E+001,-1
 4.8768383E+001,-1
 4.8781982E+001,-1
 4.8794075E+001,-1
 4.8804626E+001,-1
 4.8817379E+001,-1
 4.8830135E+001,-1
 4.8841335E+001,-1
 4.8852535E+001,-1
 4.8865974E+001,-1
 4.8877811E+001,-1
 4.8888485E+001,-1
 4.8901291E+001,-1
 4.8914101E+001,-1
 4.8924774E+001,-1
 4.8937580E+001,-1
 4.8948254E+001,-1
 4.8960091E+001,-1
 4.8973335E+001,-1
 4.8984684E+001,-1
 4.8997169E+001,-1
 4.9009655E+001,-1
 4.9020061E+001,-1
 4.9032547E+001,-1
 4.9046074E+001,-1
 4.9057518E+001,-1
 4.9068962E+001,-1
 4.9080406E+001,-1
 4.9094143E+001,-1
 4.9105587E+001,-1
 4.9116039E+001,-1
 4.9128281E+001,-1
 4.9140522E+001,-1
 4.9152763E+001,-1
 4.9165005E+001,-1
 4.9177246E+001,-1
 4.9189491E+001,-1
 4.9200302E+001,-1
 4.9212234E+001,-1
 4.9224167E+001,-1
 4.9237450E+001,-1
 4.9248104E+001,-1
 4.9260536E+001,-1
 4.9272968E+001,-1
 4.9285400E+001,-1
 4.9296055E+001,-1
 4.9308487E+001,-1
 4.9321095E+001,-1
 4.9332817E+001,-1
 4.9344536E+001,-1
 4.9356258E+001,-1
 4.9369934E+001,-1
 4.9381847E+001,-1
 4.9392593E+001,-1
 4.9405701E+001,-1
 4.9417519E+001,-1
 4.9429340E+001,-1
 4.9440102E+001,-1
 4.9452698E+001,-1
 4.9465298E+001,-1
 4.9477898E+001,-1
 4.9488396E+001,-1
 4.9500515E+001,-1
 4.9513542E+001,-1
 4.9524708E+001,-1
 4.9537731E+001,-1
 4.9548897E+001,-1
 4.9560062E+001,-1
 4.9572525E+001,-1
 4.9584240E+001,-1
 4.9597626E+001,-1
 4.9608334E+001,-1
 4.9621220E+001,-1
 4.9632263E+001,-1
 4.9645149E+001,-1
 4.9656193E+001,-1
 4.9669811E+001,-1
 4.9681961E+001,-1
 4.9692085E+001,-1
 4.9704231E+001,-1
 4.9716583E+001,-1
 4.9729946E+001,-1
 4.9741081E+001,-1
 4.9752617E+001,-1
 4.9764687E+001,-1
 4.9777443E+001,-1
 4.9788822E+001,-1
 4.9800201E+001,-1
 4.9813477E+001,-1
 4.9824860E+001,-1
 4.9836983E+001,-1
 4.9848915E+001,-1
 4.9860847E+001,-1
 4.9872952E+001,-1
 4.9884201E+001,-1
 4.9897327E+001,-1
 4.9908577E+001,-1
 4.9921703E+001,-1
 4.9932953E+001,-1
 4.9944202E+001,-1
 4.9956017E+001,-1
 4.9968925E+001,-1
 4.9981831E+001,-1
 4.9993076E+001,-1
 5.0005249E+001,-1
 5.0017418E+001,-1
 5.0029587E+001,-1
 5.0041546E+001,-1
 5.0052452E+001,-1
 5.0065174E+001,-1
 5.0077507E+001,-1
 5.0088852E+001,-1
 5.0101330E+001,-1
 5.0112137E+001,-1
 5.0124367E+001,-1
 5.0136421E+001,-1
 5.0148251E+001,-1
 5.0160183E+001,-1
 5.0172768E+001,-1
 5.0184101E+001,-1
 5.0196674E+001,-1
 5.0208199E+001,-1
 5.0220768E+001,-1
 5.0232292E+001,-1
 5.0244865E+001,-1
 5.0256390E+001,-1
 5.0268120E+001,-1
 5.0280796E+001,-1
 5.0292320E+001,-1
 5.0304996E+001,-1
 5.0316521E+001,-1
 5.0328045E+001,-1
 5.0340721E+001,-1
 5.0352245E+001,-1
 5.0364922E+001,-1
 5.0376446E+001,-1
 5.0389122E+001,-1
 5.0400646E+001,-1
 5.0412170E+001,-1
 5.0424847E+001,-1
 5.0436371E+001,-1
 5.0449047E+001,-1
 5.0460571E+001,-1
 5.0472095E+001,-1
 5.0484772E+001,-1
 5.0496292E+001,-1
 5.0508968E+001,-1
 5.0520493E+001,-1
 5.0532017E+001,-1
 5.0544693E+001,-1
 5.0556217E+001,-1
 5.0568893E+001,-1
 5.0580418E+001,-1
 5.0593094E+001,-1
 5.0604618E+001,-1
 5.0616142E+001,-1
 5.0628819E+001,-1
 5.0640343E+001,-1
 5.0653019E+001,-1
 5.0664543E+001,-1
 5.0676067E+001,-1
 5.0688744E+001,-1
 5.0700268E+001,-1
 5.0712944E+001,-1
 5.0724464E+001,-1
 5.0737141E+001,-1
 5.0748665E+001,-1
 5.0760189E+001,-1
 5.0772865E+001,-1
 5.0784389E+001,-1
 5.0797066E+001,-1
 5.0808590E+001,-1
 5.0820114E+001,-1
 5.0832790E+001,-1
 5.0844315E+001,-1
 5.0856991E+001,-1
 5.0868515E+001,-1
 5.0880039E+001,-1
 5.0892715E+001,-1
 5.0904240E+001,-1
 5.0916916E+001,-1
 5.0928440E+001,-1
 5.0941116E+001,-1
 5.0952637E+001,-1
 5.0964161E+001,-1
 5.0976837E+001,-1
 5.0988361E+001,-1
 5.1001038E+001,-1
 5.1012562E+001,-1
 5.1024086E+001,-1
 5.1036762E+001,-1
 5.1048286E+001,-1
 5.1060963E+001,-1
 5.1072487E+001,-1
 5.1084011E+001,-1
